"BehaviorSpace results (NetLogo 6.0.2)"
"vultures_ver3.nlogo"
"experiment"
"09/02/2018 11:02:07:844 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","cohesion?","users?","alignment?","[step]","avg-t2e","avg-t2d","tar-count"
"219","true","false","true","10000","182.71885681152344","99.10706329345703","18"
"220","true","false","true","10000","276.25537109375","472.54931640625","12"
"221","true","false","true","10000","178.5478973388672","937.8999710083008","19"
"222","true","false","true","10000","364.3289794921875","670.0504760742188","16"
"223","true","false","true","10000","320.18426513671875","359.4555969238281","17"
"224","true","false","true","10000","376.8333740234375","91.75987243652344","17"
"226","true","false","true","10000","126.492919921875","925.9991455078125","14"
"225","true","false","true","10000","213.059814453125","408.82757568359375","15"
"227","true","false","true","10000","282.3996124267578","436.48870849609375","17"
"228","true","false","true","10000","110.49795532226562","259.5815124511719","17"
"229","true","false","true","10000","197.1337890625","479.7177734375","11"
"230","true","false","true","10000","156.44033813476562","444.2438507080078","17"
"231","true","false","true","10000","141.3560333251953","352.4955291748047","17"
"232","true","false","true","10000","194.5","1074.03125","6"
"233","true","false","true","10000","244.450927734375","725.244140625","15"
"234","true","false","true","10000","396.734375","1618.265625","8"
"235","true","false","true","10000","113.0712890625","313.25390625","12"
"236","true","false","true","10000","189.7851104736328","572.7887268066406","17"
"237","true","false","true","10000","253.875","1556.21875","6"
"238","true","false","true","10000","239.0697021484375","648.2664794921875","14"
"239","true","false","true","10000","239.9700927734375","477.007568359375","14"
"240","true","false","true","10000","147.587158203125","116.59405517578125","15"
"241","true","false","true","10000","152.2431640625","1006.4066162109375","14"
"242","true","false","true","10000","214","517.75","3"
"243","true","false","true","10000","153.3125","841.6796875","8"
"244","true","false","true","10000","180.86203002929688","657.9122009277344","16"
"245","true","false","true","10000","242.5758056640625","138.8624267578125","14"
"246","true","false","true","10000","203.11279296875","897.88134765625","13"
"247","true","false","true","10000","484.19921875","615.2646484375","11"
"248","true","false","true","10000","245.5650634765625","339.00445556640625","15"
"249","true","false","true","10000","179.6259765625","500.6806640625","11"
"250","true","false","true","10000","189.077392578125","704.813232421875","14"
"252","true","false","true","10000","119.58740234375","95.88037109375","13"
"251","true","false","true","10000","163.578125","473.3466796875","11"
"253","true","false","true","10000","265.9886016845703","155.8730010986328","17"
"254","true","false","true","10000","467.625","512.39453125","10"
"255","true","false","true","10000","138.5810546875","482.3145751953125","14"
"256","true","false","true","10000","131.59190368652344","487.7313766479492","19"
"257","true","false","true","10000","190.05047607421875","294.37530517578125","15"
"259","true","false","true","10000","266.759765625","676.2490234375","13"
"258","true","false","true","10000","197.27880859375","583.41748046875","12"
"260","true","false","true","10000","307.4549560546875","123.541259765625","15"
"261","true","false","true","10000","206.8167724609375","919.5457153320312","15"
"262","true","false","true","10000","131.849853515625","992.566162109375","14"
"263","true","false","true","10000","208.2177734375","1165.12109375","12"
"264","true","false","true","10000","197.3167724609375","300.04638671875","15"
"265","true","false","true","10000","250.3969955444336","221.8339614868164","18"
"266","true","false","true","10000","234.4664306640625","496.49732208251953","18"
"267","true","false","true","10000","369.8544921875","505.59765625","12"
"268","true","false","true","10000","183.367919921875","725.380126953125","13"
"269","true","false","true","10000","374.004638671875","1156.3671875","13"
"270","true","false","true","10000","234.136962890625","430.646728515625","13"
"271","true","false","true","10000","142.27764892578125","552.5299682617188","15"
"272","true","false","true","10000","119.30072021484375","320.0431213378906","16"
"273","true","false","true","10000","400.8349609375","517.8779296875","12"
"274","true","false","true","10000","474.6875","1116.59375","6"
"275","true","false","true","10000","288.5217590332031","250.03233337402344","17"
"276","true","false","true","10000","149.619873046875","777.4111328125","13"
"277","true","false","true","10000","170.8271484375","382.713134765625","14"
"278","true","false","true","10000","177.5814208984375","275.0556640625","14"
"279","true","false","true","10000","205.1171875","643.90625","9"
"280","true","false","true","10000","325.576171875","1092.724609375","10"
"281","true","false","true","10000","142.515625","762.5","8"
"282","true","false","true","10000","254.16537475585938","1015.6240844726562","16"
"283","true","false","true","10000","299.39437103271484","212.28640747070312","19"
"285","true","false","true","10000","156.1004638671875","915.5597534179688","15"
"284","true","false","true","10000","361.534423828125","877.466796875","14"
"286","true","false","true","10000","155.06005859375","449.8848876953125","15"
"287","true","false","true","10000","176.92578125","1428.6484375","10"
"289","true","false","true","10000","225.67055130004883","188.30757522583008","20"
"288","true","false","true","10000","403.375","1809.3125","6"
